,index,player_id,pretty_name,club_pretty_name,_name_and_club,index,pt_name,pt_team,_name_and_club,TRUSTWORTH
0,0,10,Miroslav Klose,Lazio Rom,Miroslav Klose Lazio Rom,5032,KLOSE,lazio,KLOSE lazio,True
2,2,111196,Stefan De Vrij,Lazio Rom,Stefan De Vrij Lazio Rom,6676,DE VRIJ S.,lazio,DE VRIJ S. lazio,True
3,3,12149,Lorik Cana,Lazio Rom,Lorik Cana Lazio Rom,4842,CANA,lazio,CANA lazio,True
5,5,131709,Ogenyi Onazi,Lazio Rom,Ogenyi Onazi Lazio Rom,5727,ONAZI O.,lazio,ONAZI O. lazio,True
7,7,16731,Edson Braafheid,Lazio Rom,Edson Braafheid Lazio Rom,6595,BRAAFHEID,lazio,BRAAFHEID lazio,True
11,11,22318,Federico Marchetti,Lazio Rom,Federico Marchetti Lazio Rom,3409,MARCHETTI F.,cagliari,MARCHETTI F. cagliari,True
15,15,29035,Ederson,Lazio Rom,Ederson Lazio Rom,5538,EDERSON,lazio,EDERSON lazio,True
19,19,47065,Filip Djordjevic,Lazio Rom,Filip Djordjevic Lazio Rom,6688,DJORDJEVIC F,lazio,DJORDJEVIC F lazio,True
22,22,61449,Senad Lulic,Lazio Rom,Senad Lulic Lazio Rom,5069,LULIC S.,lazio,LULIC S. lazio,True
28,31,159026,Ricardo Kishna,Lazio Rom,Ricardo Kishna Lazio Rom,7396,KISHNA R.,lazio,KISHNA R. lazio,True
29,36,22139,Abdoulay Konko,Lazio Rom,Abdoulay Konko Lazio Rom,2294,KONKO A.,siena,KONKO A. siena,True
30,39,24661,Milan Bisevac,Lazio Rom,Milan Bisevac Lazio Rom,7168,BISEVAC,lazio,BISEVAC lazio,True
34,50,67864,Mauricio,Lazio Rom,Mauricio Lazio Rom,6878,MAURICIO,lazio,MAURICIO lazio,True
35,58,105521,Ciro Immobile,Lazio Rom,Ciro Immobile Lazio Rom,5603,IMMOBILE C.,genoa,IMMOBILE C. genoa,True
36,60,128220,Luis Alberto,Lazio Rom,Luis Alberto Lazio Rom,8001,LUIS ALBERTO,lazio,LUIS ALBERTO lazio,True
41,66,222209,Thomas Strakosha,Lazio Rom,Thomas Strakosha Lazio Rom,8197,STRAKOSHA T.,lazio,STRAKOSHA T. lazio,True
42,67,227081,Joaquin Correa,Lazio Rom,Joaquin Correa Lazio Rom,6220,JOAQUIN,fiorentina,JOAQUIN fiorentina,True
43,68,228761,Jony,Lazio Rom,Jony Lazio Rom,9685,JONY,lazio,JONY lazio,True
44,69,239802,Adam Marusic,Lazio Rom,Adam Marusic Lazio Rom,8618,MARUSIC A.,lazio,MARUSIC A. lazio,True
46,72,331514,Bobby Adekanye,Lazio Rom,Bobby Adekanye Lazio Rom,9488,BOBBY A.,lazio,BOBBY A. lazio,True
49,76,457931,Luiz Felipe,Lazio Rom,Luiz Felipe Lazio Rom,8599,LUIZ FELIPE,lazio,LUIZ FELIPE lazio,True
51,84,170481,Jean Daniel Akpa Akpro,Lazio Rom,Jean Daniel Akpa Akpro Lazio Rom,10013,AKPA AKPRO J,lazio,AKPA AKPRO J lazio,True
54,95,266795,Gonzalo Escalante,Lazio Rom,Gonzalo Escalante Lazio Rom,10206,ESCALANTE G.,lazio,ESCALANTE G. lazio,True
56,100,421775,Nicolo Armini,Lazio Rom,Nicolo Armini Lazio Rom,9441,ARMINI N.,lazio,ARMINI N. lazio,True
57,102,45653,Mateo Musacchio,Lazio Rom,Mateo Musacchio Lazio Rom,8654,MUSACCHIO M.,milan,MUSACCHIO M. milan,True
60,119,228604,Luca Crecco,Lazio Rom,Luca Crecco Lazio Rom,5490,CRECCO L.,lazio,CRECCO L. lazio,True
66,129,34553,Ivan Vargic,Lazio Rom,Ivan Vargic Lazio Rom,8228,VARGIC I.,lazio,VARGIC I. lazio,True
68,165,256996,Guido Guerrieri,Lazio Rom,Guido Guerrieri Lazio Rom,8515,GUERRIERI G.,lazio,GUERRIERI G. lazio,True
69,168,40633,Milan Badelj,Lazio Rom,Milan Badelj Lazio Rom,6543,BADELJ M.,fiorentina,BADELJ M. fiorentina,True
72,190,200056,Elseid Hysaj,Lazio Rom,Elseid Hysaj Lazio Rom,6782,HYSAJ E.,empoli,HYSAJ E. empoli,True
73,194,283735,Mattia Zaccagni,Lazio Rom,Mattia Zaccagni Lazio Rom,7668,ZACCAGNI M.,verona,ZACCAGNI M. verona,True
79,211,102745,Luca Ceppitelli,Cagliari Calcio,Luca Ceppitelli Cagliari Calcio,6630,CEPPITELLI L,cagliari,CEPPITELLI L cagliari,True
81,213,124560,Samuele Longo,Cagliari Calcio,Samuele Longo Cagliari Calcio,390,SAMUEL,roma,SAMUEL roma,True
82,214,12907,Alessio Cragno,Cagliari Calcio,Alessio Cragno Cagliari Calcio,6655,CRAGNO A.,cagliari,CRAGNO A. cagliari,True
83,215,129129,Joao Pedro,Cagliari Calcio,Joao Pedro Cagliari Calcio,6801,JOAO PEDRO,cagliari,JOAO PEDRO cagliari,True
85,217,160825,Antonio Balzano,Cagliari Calcio,Antonio Balzano Cagliari Calcio,5367,BALZANO,pescara,BALZANO pescara,True
90,222,255942,Nicolo Barella,Cagliari Calcio,Nicolo Barella Cagliari Calcio,6551,BARELLA N.,cagliari,BARELLA N. cagliari,True
91,223,288506,Caio Rangel,Cagliari Calcio,Caio Rangel Cagliari Calcio,6611,CAIO RANGEL,cagliari,CAIO RANGEL cagliari,True
92,224,291266,Godfred Donsah,Cagliari Calcio,Godfred Donsah Cagliari Calcio,6125,DONSAH G.,verona,DONSAH G. verona,True
93,225,29962,Daniele Dessena,Cagliari Calcio,Daniele Dessena Cagliari Calcio,1119,DESSENA D.,parma,DESSENA D. parma,True
97,229,46415,Duje Cop,Cagliari Calcio,Duje Cop Cagliari Calcio,6649,COP,cagliari,COP cagliari,True
98,230,49275,Albin Ekdal,Cagliari Calcio,Albin Ekdal Cagliari Calcio,3279,EKDAL A.,juventus,EKDAL A. juventus,True
101,233,60128,Luca Rossettini,Cagliari Calcio,Luca Rossettini Cagliari Calcio,2990,ROSSETTINI L,siena,ROSSETTINI L siena,True
103,235,92141,Victor Ibarbo,Cagliari Calcio,Victor Ibarbo Cagliari Calcio,5009,IBARBO V.,cagliari,IBARBO V. cagliari,True
104,236,99923,Simone Benedetti,Cagliari Calcio,Simone Benedetti Cagliari Calcio,6565,BENEDETTI,cagliari,BENEDETTI cagliari,True
105,237,101922,Fabio Pisacane,Cagliari Calcio,Fabio Pisacane Cagliari Calcio,8120,PISACANE F.,cagliari,PISACANE F. cagliari,True
107,242,136514,Charalampos Lykogiannis,Cagliari Calcio,Charalampos Lykogiannis Cagliari Calcio,8603,LYKOGIANNIS,cagliari,LYKOGIANNIS cagliari,True
108,243,167796,Paolo Farago,Cagliari Calcio,Paolo Farago Cagliari Calcio,7873,FARAGO' P.,cagliari,FARAGO' P. cagliari,True
109,244,200194,Federico Mattiello,Cagliari Calcio,Federico Mattiello Cagliari Calcio,6874,MATTIELLO F.,chievo,MATTIELLO F. chievo,True
110,245,26105,Valter Birsa,Cagliari Calcio,Valter Birsa Cagliari Calcio,4805,BIRSA V.,genoa,BIRSA V. genoa,True
